               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085984,            0.028001,            0.026836,           0.0013243,             0.22436,           0.0051078,           0.0010164,            0.078845,            0.013582,            0.020792,            0.070278,           0.0033025,           0.0033025
                   1,            0.072733,            0.028171,            0.012651,            0.024241,              0.1286,            0.019715,           0.0050978,            0.070988,            0.015791,           0.0089221,            0.040256,           0.0066139,           0.0066139
                   2,            0.063916,            0.028498,           0.0087406,           0.0049436,             0.17529,           0.0021401,          0.00057195,            0.097013,              13.188,             0.11654,            0.010212,           0.0099033,           0.0099033
                   3,            0.057665,            0.027775,           0.0072311,             0.15366,             0.20264,            0.091285,            0.026602,            0.063122,            0.013186,           0.0081009,            0.009901,            0.009901,            0.009901
                   4,            0.054295,            0.027178,           0.0066583,             0.35942,             0.40399,             0.29122,            0.098307,            0.052396,            0.013032,           0.0049037,            0.009901,            0.009901,            0.009901
                   5,            0.051688,            0.025965,            0.006589,             0.38513,             0.48562,             0.35342,             0.12356,            0.049357,            0.012856,           0.0041985,            0.009868,            0.009868,            0.009868
                   6,            0.049926,            0.025916,           0.0064093,              0.3736,             0.48598,             0.36765,             0.13928,            0.047909,            0.012025,           0.0042711,            0.009835,            0.009835,            0.009835
                   7,            0.048931,            0.025392,           0.0060682,             0.48065,             0.48449,             0.42718,             0.16722,            0.047668,            0.012154,           0.0048916,            0.009802,            0.009802,            0.009802
                   8,            0.047675,            0.025312,            0.005745,             0.54004,             0.50625,             0.48743,              0.1982,            0.046864,            0.011327,           0.0046885,            0.009769,            0.009769,            0.009769
                   9,            0.047137,            0.024664,           0.0055005,             0.56782,             0.52573,             0.51605,             0.21226,            0.044742,            0.011369,           0.0035215,            0.009736,            0.009736,            0.009736
                  10,            0.046332,            0.024723,           0.0051448,             0.58552,             0.55716,             0.53125,             0.21616,            0.045005,            0.010804,            0.003465,            0.009703,            0.009703,            0.009703
                  11,            0.046067,             0.02428,           0.0052258,              0.5117,             0.47048,             0.44283,             0.17564,            0.047237,            0.011638,           0.0063011,             0.00967,             0.00967,             0.00967
                  12,            0.045698,            0.024359,           0.0054313,              0.5799,             0.54828,             0.53232,              0.2319,            0.044674,            0.010983,           0.0034738,            0.009637,            0.009637,            0.009637
                  13,             0.04477,            0.024032,           0.0045935,             0.58445,             0.56411,             0.54555,             0.24232,            0.043607,            0.011275,           0.0033128,            0.009604,            0.009604,            0.009604
                  14,            0.044594,            0.023785,           0.0049237,              0.6173,             0.56432,              0.5534,             0.25025,             0.04325,            0.010686,           0.0030859,            0.009571,            0.009571,            0.009571
                  15,            0.044038,            0.023709,            0.004902,              0.6036,             0.55946,             0.55557,             0.25135,            0.043295,            0.010746,           0.0036898,            0.009538,            0.009538,            0.009538
                  16,            0.043635,            0.023777,           0.0048585,             0.61674,             0.59038,             0.59085,             0.27116,            0.042868,            0.010536,           0.0036595,            0.009505,            0.009505,            0.009505
                  17,            0.043451,             0.02384,           0.0045562,              0.6413,             0.60333,             0.60764,             0.27763,            0.042682,            0.010617,           0.0030752,            0.009472,            0.009472,            0.009472
                  18,            0.043289,            0.023419,             0.00451,             0.59196,             0.56836,             0.57091,             0.25215,            0.042718,            0.010845,            0.003561,            0.009439,            0.009439,            0.009439
                  19,            0.043123,            0.023494,           0.0046662,             0.61586,              0.5867,             0.57816,             0.26886,            0.042135,            0.010586,            0.003018,            0.009406,            0.009406,            0.009406
                  20,            0.042926,            0.023556,           0.0044315,             0.64533,             0.60345,             0.61166,             0.28878,            0.041759,            0.010409,           0.0032854,            0.009373,            0.009373,            0.009373
                  21,            0.042885,            0.023496,           0.0043996,              0.6448,             0.59259,             0.60879,             0.28018,            0.042074,             0.01035,            0.003304,             0.00934,             0.00934,             0.00934
                  22,            0.042312,            0.023097,           0.0045827,             0.66216,              0.6015,             0.62404,             0.30344,            0.041611,            0.010582,           0.0030573,            0.009307,            0.009307,            0.009307
                  23,            0.042061,             0.02324,           0.0045562,             0.65119,             0.59937,             0.62217,             0.29664,             0.04087,            0.010404,           0.0030306,            0.009274,            0.009274,            0.009274
                  24,            0.041905,             0.02286,           0.0043882,             0.65391,             0.62971,             0.62935,             0.30742,            0.041449,            0.010449,           0.0030689,            0.009241,            0.009241,            0.009241
                  25,            0.042444,            0.022887,           0.0041058,             0.66339,             0.61191,             0.63201,             0.30456,            0.040898,            0.010111,           0.0030369,            0.009208,            0.009208,            0.009208
                  26,            0.041436,            0.023177,           0.0041445,             0.65746,             0.60683,             0.62424,             0.30627,            0.040698,            0.010226,           0.0028284,            0.009175,            0.009175,            0.009175
                  27,            0.041688,            0.022665,           0.0042831,             0.66037,             0.62048,             0.64536,                0.32,             0.04047,            0.010173,           0.0029504,            0.009142,            0.009142,            0.009142
                  28,            0.041119,            0.022865,           0.0040212,             0.65632,             0.62481,             0.63521,             0.31623,            0.039911,            0.010262,           0.0030803,            0.009109,            0.009109,            0.009109
                  29,             0.04148,             0.02256,           0.0041879,             0.65833,             0.60204,             0.64298,             0.32076,            0.040749,            0.010122,           0.0027962,            0.009076,            0.009076,            0.009076
                  30,             0.04124,            0.022241,           0.0040355,             0.68019,             0.62052,             0.63804,             0.31658,            0.040204,            0.010164,           0.0029864,            0.009043,            0.009043,            0.009043
                  31,            0.040785,            0.022604,           0.0038401,             0.67215,             0.61652,             0.64901,             0.32463,            0.039878,             0.01002,           0.0026656,             0.00901,             0.00901,             0.00901
                  32,            0.040745,            0.022421,           0.0042434,             0.66773,             0.61718,             0.64831,             0.32592,            0.040016,            0.010125,           0.0029404,            0.008977,            0.008977,            0.008977
                  33,            0.040847,            0.022568,           0.0039646,             0.64849,             0.61332,             0.63214,             0.31236,            0.040202,            0.010369,           0.0028748,            0.008944,            0.008944,            0.008944
                  34,            0.040161,            0.022456,           0.0040167,             0.66594,             0.62712,             0.66104,              0.3333,            0.039371,           0.0099763,           0.0026493,            0.008911,            0.008911,            0.008911
